Date,Crude Oil,Brent Oil,Natural Gas,Gold,Silver,Copper
2021-06-14,64.43,72.86,3.352,1876.40,28.054,4.5405
2021-06-11,64.30,72.69,3.296,1890.10,28.161,4.5525
2021-06-10,64.15,72.52,3.149,1907.30,28.047,4.5045
2021-06-09,64.01,72.22,3.129,1906.40,28.017,4.5425
2021-06-08,63.95,72.22,3.128,1905.50,27.747,4.5690
2021-06-07,63.36,71.49,3.070,1909.80,28.033,4.5455
2021-06-04,63.34,71.89,3.097,1903.20,27.910,4.5400
2021-06-03,62.77,71.31,3.041,1884.70,27.492,4.4800
2021-06-02,62.78,71.35,3.075,1921.30,28.220,4.5990
2021-06-01,62.02,70.25,3.104,1916.70,28.119,4.6550
2021-05-31,66.96,69.32,3.055,1911.15,28.192,4.6810
2021-05-30,66.59,,3.037,1906.75,28.058,4.6937
2021-05-28,60.83,69.63,2.986,1916.80,28.031,4.6760
2021-05-27,61.34,69.46,2.958,1910.60,27.955,4.6615
2021-05-26,60.99,68.87,2.984,1915.00,27.877,4.5290
2021-05-25,60.78,68.65,2.913,1911.60,28.056,4.5085
2021-05-24,60.78,68.46,2.886,1897.50,27.905,4.5290
2021-05-21,59.05,66.44,2.906,1889.20,27.486,4.4825
2021-05-20,57.93,65.11,2.925,1894.20,28.067,4.5650
2021-05-19,58.86,66.66,2.964,1893.90,28.025,4.5720
2021-05-18,60.62,68.71,3.012,1880.50,28.333,4.7130
2021-05-17,61.10,69.46,3.109,1880.00,28.274,4.7020
2021-05-14,60.59,68.71,2.961,1851.60,27.365,4.6440
2021-05-13,59.67,67.05,2.973,1837.30,27.059,4.6680
2021-05-12,61.76,69.32,2.969,1835.80,27.244,4.7085
2021-05-11,60.97,68.55,2.955,1849.10,27.667,4.7350
2021-05-10,60.52,68.32,2.932,1850.70,27.492,4.6790
2021-05-07,60.31,68.28,2.958,1844.30,27.477,4.6995
2021-05-06,59.92,68.09,2.928,1828.60,27.477,4.5565
2021-05-05,60.23,68.96,2.938,1797.60,26.522,4.4830
2021-05-04,60.17,68.88,2.967,1789.30,26.558,4.4765
2021-05-03,59.04,67.56,2.966,1804.30,26.960,4.4850
2021-04-30,58.18,67.25,2.931,1780.20,25.873,4.4280
2021-04-29,59.38,68.56,2.911,1780.70,26.085,4.4385
2021-04-28,58.69,67.27,2.925,1786.70,26.102,4.4495
2021-04-27,58.17,66.42,2.873,1791.60,26.430,4.4455
2021-04-26,57.49,65.65,2.790,1792.80,26.228,4.4035
2021-04-23,57.60,66.11,2.730,1790.30,26.095,4.3055
2021-04-22,57.04,65.40,2.749,1794.90,26.200,4.2500
2021-04-21,56.66,65.32,2.692,1806.20,26.586,4.2545
2021-04-20,57.38,66.57,2.727,1791.20,25.854,4.1925
2021-04-19,57.99,67.05,2.749,1783.40,25.852,4.2140
2021-04-16,57.98,66.77,2.680,1792.80,26.120,4.1355
2021-04-15,58.27,66.94,2.658,1779.60,25.979,4.1815
2021-04-14,58.48,66.58,2.618,1748.90,25.539,4.0980
2021-04-13,56.68,63.67,2.619,1759.90,25.442,4.0130
2021-04-12,56.15,63.28,2.561,1744.90,24.882,4.0000
2021-04-09,55.64,62.95,2.526,1756.80,25.341,4.0145
2021-04-08,55.57,63.20,2.522,1770.20,25.604,4.0645
2021-04-07,56.24,63.16,2.520,1753.10,25.267,4.0205
2021-04-06,55.99,62.74,2.456,1754.60,25.247,4.0725
2021-04-05,55.23,62.15,2.511,1740.70,24.801,4.1005
2021-04-01,56.86,64.86,2.639,1739.80,24.961,3.9585
2021-03-31,54.41,63.54,2.608,1727.30,24.552,3.9625
2021-03-30,55.20,64.14,2.623,1697.70,24.157,3.9440
2021-03-29,55.92,64.98,2.586,1726.20,24.771,3.9955
2021-03-26,55.84,64.57,2.557,1746.00,25.114,4.0235
2021-03-25,54.12,61.95,2.570,1738.90,25.047,3.9370
2021-03-24,56.05,64.41,2.518,1747.00,25.231,4.0255
2021-03-23,53.99,60.79,2.508,1739.30,25.227,4.0345
2021-03-22,56.12,64.62,2.582,1752.20,25.769,4.0895
2021-03-19,55.89,64.53,2.535,1755.40,26.321,4.0570
2021-03-18,55.09,63.28,2.481,1746.20,26.351,4.0570
2021-03-17,57.92,68.00,2.528,1740.30,26.058,4.0715
2021-03-16,57.80,68.39,2.562,1744.50,26.003,4.0260
2021-03-15,58.00,68.88,2.484,1742.90,26.288,4.0860
2021-03-12,58.07,69.22,2.600,1733.20,25.911,4.0870
2021-03-11,58.21,69.63,2.668,1737.30,26.193,4.0880
2021-03-10,57.21,67.90,2.692,1737.30,26.130,3.9740
2021-03-09,57.11,67.52,2.662,1733.30,26.183,3.9470
2021-03-08,57.49,68.24,2.664,1694.90,25.269,4.0255
2021-03-05,57.95,69.36,2.701,1716.30,25.287,4.0105
2021-03-04,56.27,66.74,2.746,1717.70,25.461,3.9160
2021-03-03,54.97,64.07,2.816,1732.60,26.387,4.0745
2021-03-02,53.83,62.70,2.839,1750.30,26.879,4.1375
2021-03-01,54.03,63.69,2.777,1739.60,26.678,4.0490
2021-02-26,54.57,66.13,2.771,1745.90,26.440,4.0230
2021-02-25,56.22,66.88,2.777,1791.30,27.685,4.1745
2021-02-24,56.18,67.04,2.854,1811.40,27.894,4.2180
2021-02-23,54.71,65.37,2.879,1818.90,27.717,4.1060
2021-02-22,54.48,65.24,2.953,1821.40,28.111,4.0680
2021-02-19,53.06,62.91,3.069,1791.30,27.279,3.9915
2021-02-18,53.47,63.93,3.082,1789.00,27.098,3.8250
2021-02-17,53.67,64.34,3.219,1787.20,27.335,3.7530
2021-02-16,53.40,63.35,3.129,1813.60,27.341,3.7535
2021-02-15,60.09,63.30,3.067,1818.75,27.672,3.8218
2021-02-14,60.37,,3.035,1821.05,27.510,3.8003
2021-02-12,52.75,62.43,2.912,1837.60,27.348,3.7185
2021-02-11,52.16,61.14,2.868,1841.70,27.072,3.7210
2021-02-10,52.38,61.47,2.911,1857.50,27.108,3.7170
2021-02-09,52.10,61.09,2.835,1852.30,27.427,3.6570
2021-02-08,51.86,60.56,2.882,1848.40,27.589,3.6150
2021-02-05,51.01,59.34,2.863,1829.00,27.041,3.5890
2021-02-04,50.69,58.84,2.935,1806.90,26.261,3.5280
2021-02-03,50.42,58.46,2.789,1851.10,26.914,3.5320
2021-02-02,49.95,57.46,2.845,1847.60,26.426,3.4975
